position,jID,pID,tID,xID,role,visible,distance,distance_visible,distance_percent,high_speed,high_speed_visible,high_speed_percent,match_active,active_visible,inactive_visible,source,match
IVL,5,DFL-OBJ-0001UL,DFL-CLU-00000B,5,DEF,0.3405185185185185,9874.356391300358,4196.2671365149545,0.4249661416122278,289.1239323163427,169.29666847002258,0.585550518470356,0.5933481481481482,0.2843851851851852,0.056133333333333334,TV,DFL-MAT-000322
LV,17,DFL-OBJ-0000JN,DFL-CLU-00000B,9,DEF,0.3887555555555556,11093.405779750377,4971.94398851744,0.44818913931671917,513.3237643147204,236.09552716311455,0.4599349252382628,0.5933481481481482,0.3303185185185185,0.05843703703703704,TV,DFL-MAT-000322
RV,13,DFL-OBJ-0001Z9,DFL-CLU-00000B,12,DEF,0.3343555555555556,9920.60205362078,4035.953723858449,0.40682548317573364,451.06503480821266,217.54925279166116,0.48230130026407486,0.5933481481481482,0.28276296296296294,0.05159259259259259,TV,DFL-MAT-000322
OLM,7,DFL-OBJ-0000KR,DFL-CLU-00000B,15,OFF,0.49834074074074075,11136.902800743334,6544.547226559838,0.5876451778067976,504.5297483463197,288.03015655843365,0.570888351980236,0.5933481481481482,0.42001481481481484,0.07832592592592592,TV,DFL-MAT-000322
ORM,38,DFL-OBJ-0000MW,DFL-CLU-00000B,16,OFF,0.41985925925925927,11233.760239303643,5745.512418316458,0.5114505113091687,538.8931275525518,263.16682541876895,0.4883469689323611,0.5933481481481482,0.3433777777777778,0.07648148148148148,TV,DFL-MAT-000322
DMR,6,DFL-OBJ-000040,DFL-CLU-000008,0,MID,0.5145185185185185,10634.1838716134,6519.7166187364255,0.6130904540911671,324.0122689588687,109.34099275219882,0.3374594212235802,0.5933481481481482,0.4400148148148148,0.0745037037037037,TV,DFL-MAT-000322
IVL,28,DFL-OBJ-00018X,DFL-CLU-000008,7,DEF,0.3927481481481481,9438.304432865663,4542.923442134925,0.4813283439253929,182.52181165491163,93.5310093426965,0.5124374368995017,0.5933481481481482,0.3204814814814815,0.07226666666666667,TV,DFL-MAT-000322
LM,14,DFL-OBJ-00012X,DFL-CLU-000008,8,MID,0.40328148148148146,10570.425861059222,5064.173860615627,0.47908891535503045,427.59285664392985,184.20645043297037,0.4307987085630033,0.5933481481481482,0.33885925925925925,0.06442222222222223,TV,DFL-MAT-000322
TW,1,DFL-OBJ-0000M0,DFL-CLU-000008,11,GK,0.14224444444444445,4408.698601242754,804.0856055772088,0.1823861593420216,29.284199538481268,0.0,0.0,0.5933481481481482,0.1093925925925926,0.032851851851851854,TV,DFL-MAT-000322
DML,33,DFL-OBJ-00002C,DFL-CLU-000008,12,MID,0.5254666666666666,10662.220209594208,6718.1497262160065,0.6300891928841237,229.8072364009594,122.58661513093926,0.533432354223409,0.5933481481481482,0.4470074074074074,0.07845925925925926,TV,DFL-MAT-000322
ORM,16,DFL-OBJ-0002DO,DFL-CLU-000008,13,OFF,0.4590962962962963,11470.385328946984,6254.306698522734,0.545256895837596,358.2601271408345,215.06235406349742,0.6002966497551511,0.5933481481481482,0.3920444444444444,0.06705185185185185,TV,DFL-MAT-000322
IVZ,19,DFL-OBJ-0000F3,DFL-CLU-000008,14,DEF,0.3747185185185185,9582.435616299084,4386.066207541316,0.4577193506086187,269.1557546799422,118.75385875783549,0.44120869308199545,0.5933481481481482,0.30774814814814816,0.06697037037037037,TV,DFL-MAT-000322
STZ,9,DFL-OBJ-0000RQ,DFL-CLU-000008,16,OFF,0.40476296296296294,9695.72701808728,4703.726708560798,0.4851339873519586,242.27450072026247,151.7443744153764,0.6263324203094122,0.5933481481481482,0.34097037037037037,0.0637925925925926,TV,DFL-MAT-000322
