match,number,start,end,team,possession,formation_rater1,formation_rater2,formation_rater3,majority,start_seconds,end_seconds,half,predictions_gt,predictions_sf,predictions_tv
Leverkusen - Gladbach,232,84:36,85:00,Leverkusen,in,4231.0,4231.0,,4231,2376,2400,secondHalf,"[('334', 0.8288650995444231), ('352', 0.8146825018516983), ('343', 0.7956811467884521), ('433 (5)', 0.7841662894986599), ('433 (4)', 0.7802964469028865)]","[('334', 0.8288650995444231), ('352', 0.8146825018516983), ('343', 0.7956811467884521), ('433 (5)', 0.7841662894986599), ('433 (4)', 0.7802964469028865)]","[('442 (1)', 0.9066617756976669), ('433 (5)', 0.8918775392198454), ('433 (4)', 0.8895605968045751), ('4321', 0.883284419331274), ('433 (3)', 0.877326981807845)]"
Leverkusen - Gladbach,235,86:36,86:57,Gladbach,in,442.0,442.0,,442,2496,2517,secondHalf,"[('424', 0.9366361528534649), ('433 (3)', 0.930316733726027), ('433 (2)', 0.9273097343204324), ('4231 (2)', 0.9265225001760894), ('433 (4)', 0.9230057176964374)]","[('424', 0.9366361528534649), ('433 (3)', 0.930316733726027), ('433 (2)', 0.9273097343204324), ('4231 (2)', 0.9265225001760894), ('433 (4)', 0.9230057176964374)]","[('424', 0.834024478932245), ('4231 (2)', 0.8170430716426981), ('433 (1)', 0.8164867649644605), ('433 (3)', 0.8134184721341581), ('334', 0.8132869641082557)]"
Leverkusen - Gladbach,7,00:30:00,01:06:00,Leverkusen,out,442.0,442.0,442.0,442,30,66,firstHalf,"[('442 (2)', 0.9368382813243699), ('4231 (1)', 0.9320705901485902), ('451', 0.9105628781558266), ('541', 0.8973758615282028), ('4141', 0.892881143662773)]","[('442 (2)', 0.9368382813243699), ('4231 (1)', 0.9320705901485902), ('451', 0.9105628781558266), ('541', 0.8973758615282028), ('4141', 0.892881143662773)]","[('442 (2)', 0.9390672030565247), ('4231 (1)', 0.9266988310575646), ('424', 0.9256707636445323), ('4231 (2)', 0.915950891096974), ('451', 0.9141339155571648)]"
Leverkusen - Gladbach,9,01:14:00,01:32:00,Leverkusen,out,442.0,442.0,442.0,442,74,92,firstHalf,"[('442 (2)', 0.8832346605510284), ('433 (1)', 0.8746786569762512), ('433 (3)', 0.8689223020347281), ('4231 (1)', 0.8674499503480655), ('4141', 0.8628919307833157)]","[('442 (2)', 0.8832346605510284), ('433 (1)', 0.8746786569762512), ('433 (3)', 0.8689223020347281), ('4231 (1)', 0.8674499503480655), ('4141', 0.8628919307833157)]","[('442 (2)', 0.90637901118754), ('433 (1)', 0.890312830978146), ('451', 0.8863039900033886), ('433 (3)', 0.8852255301498853), ('4141', 0.8850929795508)]"
Leverkusen - Gladbach,11,01:53:00,02:04:00,Gladbach,out,442.0,4231.0,442.0,442,113,124,firstHalf,"[('4231 (1)', 0.9281119020763344), ('442 (2)', 0.9153709223363582), ('451', 0.9068161810955581), ('4231 (2)', 0.899903604650714), ('424', 0.8974268553260183)]","[('4231 (1)', 0.9281119020763344), ('442 (2)', 0.9153709223363582), ('451', 0.9068161810955581), ('4231 (2)', 0.899903604650714), ('424', 0.8974268553260183)]","[('442 (2)', 0.9301305445031414), ('424', 0.9234189376142466), ('4231 (2)', 0.9060806736850626), ('4231 (1)', 0.9006057071488585), ('451', 0.8920757912529245)]"
Leverkusen - Gladbach,15,03:01:00,03:25:00,Leverkusen,out,442.0,442.0,442.0,442,181,205,firstHalf,"[('442 (2)', 0.8521936145022562), ('4231 (1)', 0.8511628567508251), ('451', 0.8307771062806628), ('433 (1)', 0.8213452293891319), ('532', 0.8197344172395623)]","[('442 (2)', 0.8521936145022562), ('4231 (1)', 0.8511628567508251), ('451', 0.8307771062806628), ('433 (1)', 0.8213452293891319), ('532', 0.8197344172395623)]","[('4231 (1)', 0.8702131462102156), ('442 (2)', 0.8672298716516893), ('451', 0.8660294390502192), ('4141', 0.8362249467105269), ('433 (1)', 0.828156277686535)]"
Leverkusen - Gladbach,16,03:25:00,03:37:00,Gladbach,out,433.0,433.0,442.0,433,205,217,firstHalf,"[('352', 0.8854920566901037), ('442 (2)', 0.8844955807591686), ('4141', 0.8830086123519475), ('334', 0.8826190413145741), ('424', 0.876446310988076)]","[('352', 0.8854920566901037), ('442 (2)', 0.8844955807591686), ('4141', 0.8830086123519475), ('334', 0.8826190413145741), ('424', 0.876446310988076)]","[('343', 0.8150668716763798), ('451', 0.8005374661291562), ('433 (3)', 0.798891187650125), ('4141', 0.7970360241651413), ('352', 0.7954580315972541)]"
Leverkusen - Gladbach,20,05:17:00,05:46:00,Leverkusen,out,442.0,442.0,442.0,442,317,346,firstHalf,"[('442 (2)', 0.9234419492819737), ('4231 (1)', 0.9233131321219451), ('451', 0.908152398747302), ('4141', 0.9027212869809362), ('541', 0.8947403000249169)]","[('442 (2)', 0.9234419492819737), ('4231 (1)', 0.9233131321219451), ('451', 0.908152398747302), ('4141', 0.9027212869809362), ('541', 0.8947403000249169)]","[('442 (2)', 0.8927595766796588), ('4231 (1)', 0.8922874847474012), ('532', 0.8845530856930949), ('451', 0.8835326953368586), ('4321', 0.8734723575707148)]"
Leverkusen - Gladbach,29,07:28:00,07:57:00,Leverkusen,out,4231.0,442.0,442.0,442,448,477,firstHalf,"[('4231 (2)', 0.9501887931139537), ('424', 0.9457179970071161), ('442 (2)', 0.945008232580559), ('451', 0.9383880682186396), ('4141', 0.9304514152372565)]","[('4231 (2)', 0.9501887931139537), ('424', 0.9457179970071161), ('442 (2)', 0.945008232580559), ('451', 0.9383880682186396), ('4141', 0.9304514152372565)]","[('352', 0.8150949492338692), ('334', 0.7911449047589691), ('4231 (2)', 0.7825260777442411), ('4141', 0.7720789655730023), ('451', 0.7717437449863855)]"
Leverkusen - Gladbach,39,13:09:00,13:32:00,Leverkusen,out,442.0,442.0,442.0,442,789,812,firstHalf,"[('4231 (1)', 0.9226643788178316), ('451', 0.9111008573185502), ('442 (2)', 0.9094210405503693), ('541', 0.9045046942331824), ('4141', 0.8875244751609281)]","[('4231 (1)', 0.9226643788178316), ('451', 0.9111008573185502), ('442 (2)', 0.9094210405503693), ('541', 0.9045046942331824), ('4141', 0.8875244751609281)]","[('541', 0.8879027792807507), ('4231 (1)', 0.8599697079394781), ('451', 0.8301942106401203), ('433 (1)', 0.8207291270030912), ('4141', 0.817116838546124)]"
